entity,store_name,review_text,sentiment_label
mattress,The Sleep Company Kirti Nagar,"I recently visited Sleep company to purchase a mattress, and Naveen, the salesman, made the experience exceptional. From the moment I walked in, he greeted me warmly and took the time to understand my specific needs. He was extremely …",Positive
mattress,The Sleep Company Kirti Nagar,The place offers great mattress options and Naveen was a great help explaining me about the need as per my body usage.,Positive
mattress,The Sleep Company Jail Road,This experience store is one of its kind! Ajay walked us through the different range of mattresses and helped us finalize the best one as per our requirements. A little on the pricey end but highly recommended.,Positive
mattress,The Sleep Company Lajpat Nagar,We were beyond pleased with the help and assistance provided by Suraj and Divya. They were very helpful throughout the process and made the whole experience extremely easy. We bought two mattresses from this store. The mattresses are …,Positive
mattress,The Sleep Company Lajpat Nagar,"I recently visited the store offers an impressive range of top-notch products. The staff was knowledgeable and helped me choose the perfect mattress for my needs. The store's ambience is incredibly neat and clean, making the shopping experience even more pleasant.",Positive
mattress,The Sleep Company Lajpat Nagar,"If they have minus rating would give the same , we have bought mattress for 70k and waiting for same from last 10 days .on enquiring today they tell us , as it’s a spl size you owe us 3000₹ . On asking that whom did you inform about pending …",Negative
mattress,The Sleep Company Ghitorni,Overall great experience and all staffs are very supportive to guide and advise you. I would recommend to visit the store whenever you are in search for new mattress.,Positive
mattress,The Sleep Company South Ex,Yashoda and mr bobby were really helpful and the guidance has actually made my decisions more firm. I had decided my mattress within a second due to their constant support and they had made the experience better all over lovely place and experience. Store must visit.,Positive
service,The Sleep Company South Ex,I visited your store last week I was very impressed with the customer service keep it up!!! The store was very amazing with your amazing product..,Positive
mattress,The Sleep Company Noida sec 17,"Variety of options available for mattresses and other furniture. Staff was very polite, Co-operative and knowledgeable. Got exactly what we needed. Also, they provide home installation. Overall had a good experience here while searching for an adjustable work table.",Positive
mattress,The Sleep Company Noida sec 17,"Had a great experience at The Sleep Company Store. The staff was knowledgeable and helped me find the perfect mattress. The store was clean, well-organized, and had a great selection to try out. Appreciate the excellent customer service.",Positive
service,The Sleep Company Noida sec 17,"Had a great experience at The Sleep Company Store. The staff was knowledgeable and helped me find the perfect mattress. The store was clean, well-organized, and had a great selection to try out. Appreciate the excellent customer service.",Positive
delivery,The Sleep Company Pebble Downtown Mall Faridabad,"Good products at very competitive prices. Services are excellent. On time delivery with tracking system & prompt installation without any follow up.
Very good overall experience.",Positive
service,The Sleep Company Pebble Downtown Mall Faridabad,"Good products at very competitive prices. Services are excellent. On time delivery with tracking system & prompt installation without any follow up.
Very good overall experience.",Positive
mattress,The Sleep Company Rohini,"Very nice service and great ambience!!
Great support team!
Naveen help us to resolve issues and queries regarding mattress",Positive
service,The Sleep Company Rohini,"Very nice service and great ambience!!
Great support team!
Naveen help us to resolve issues and queries regarding mattress",Positive
mattress,The Sleep Company Model Town,PURCHASE MATTRESS FROM THIS COMPANY STAFF BEHAVIOUR IS GREAT MATTRESS QUALITY IS GOOD BUT DELIVERY IS PENDING ☺️SAME DAY DELIVERY NOT AVAILABLE 😞.. AS PER OUR REQUIREMENT .. …,Negative
delivery,The Sleep Company Model Town,PURCHASE MATTRESS FROM THIS COMPANY STAFF BEHAVIOUR IS GREAT MATTRESS QUALITY IS GOOD BUT DELIVERY IS PENDING ☺️SAME DAY DELIVERY NOT AVAILABLE 😞.. AS PER OUR REQUIREMENT .. …,Negative
mattress,The Sleep Company Preet Vihar,Staff is great. Explained their technology very well. Next gen technology. Must visit the store once if you are looking for buying a new mattress.,Positive
mattress,The Sleep Company Indirapuram,I had a great time spent in the shop. The collection is superb. The state of the art infrastructure of mattresses is extremely convincing for anyone to buy.,Positive
mattress,The Sleep Company Airia Mall Sec 68 Gurugram,"If you are looking for mattress in budget go check the sleep company which is one of the finest in the market. Looking for orthopaedic help you will get the one. They have their patents for mattress.
Additional benefits with icici card and hdfc credit cards.",Positive
mattress,The Sleep Company Gaur City,We had an awesome experience at The Sleep company store located in gaur city mall. We had a word with Mr Nilesh Ji who was very humble and polite for mattress we are looking for. Nilesh ji was very helpful and knowledgeable and suggested us …,Positive
service,The Sleep Company Bandra Linking Road,Really happy with the service & explanation provided by Sandesh and a smooth billing experience by azim,Positive
