store_name,total_reviews,avg_star_rating,positive_reviews,negative_reviews,neutral_reviews,% Positive,% Negative,% Neutral
The Sleep Company Airia Mall Sec 68 Gurugram,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Bandra Linking Road,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Borivali West,3,4.666666666666667,3,0,0,100.0,0.0,0.0
The Sleep Company Dwarka Sec-12,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Gaur City,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Ghitorni,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Golf Course Road,3,3.6666666666666665,2,1,0,66.66666666666666,33.33333333333333,0.0
The Sleep Company Indirapuram,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Jail Road,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Kirti Nagar,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Lajpat Nagar,3,3.6666666666666665,2,1,0,66.66666666666666,33.33333333333333,0.0
The Sleep Company Model Town,3,5.0,2,1,0,66.66666666666666,33.33333333333333,0.0
The Sleep Company Noida sec 17,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Pebble Downtown Mall Faridabad,3,4.666666666666667,3,0,0,100.0,0.0,0.0
The Sleep Company Preet Vihar,3,5.0,3,0,0,100.0,0.0,0.0
The Sleep Company Rohini,3,4.333333333333333,3,0,0,100.0,0.0,0.0
The Sleep Company South Ex,3,5.0,2,1,0,66.66666666666666,33.33333333333333,0.0
